Date,Label,Speaker,Political Party,Subject,Photo
2018-12-01,True,Roy Blunt,Republican,Federal Budget;Military,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Blunt_mug.jpg
2018-12-09,Half True,Christine Lagarde,None,Economy;Jobs;Women,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Largarde.jpg
2018-12-08,True,Mike  Romano,Democrat,Income;Poverty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-04_at_10.43.17_AM.png
2018-12-09,Mostly True, Bloggers,None,Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-27,Half True,Terry Van Duyn,Democrat,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/VanDuynMUG.JPG
2018-12-09,Mostly True, Bloggers,None,Education;Fake news;Religion,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2013-01-10,Full Flop,Robin Vos,Republican,Government Efficiency;States;Transparency,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Robin_Vos.jpg
2018-11-05,Mostly True,Jim Justice,Republican,Animals;Economy;Guns,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-09-11_at_4.17.04_PM.png
2018-11-08,True,Mike  Romano,Democrat,Poverty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-04_at_10.43.17_AM.png
2018-12-07,Mostly True,Miro Weinberger,Democrat,Energy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/miro.jpg
2018-12-05,Mostly False, Bloggers,None,Nuclear,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-08,True,Mike  Romano,Democrat,Economy;Income,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-04_at_10.43.17_AM.png
2018-10-09,Mostly False,Paul Espinosa,Republican,Education,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Espinosa.jpg
2018-12-03,Full Flop,Scott Walker,Republican,Elections;Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Scott_Walker_1_1.jpg
2018-12-03,True, Bloggers,None,Corrections and Updates;Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-27,True,Richard Ojeda,Democrat,Economy;Financial Regulation,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-11-15_at_1.30.03_PM.png
2018-11-15,True,David McKinley,Republican,Energy;Federal Budget;Food;Science;Technology,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/McKinley_mug.jpg
2018-12-08,True,Crystal Quade,Democrat,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Crystal_Quade.jpg
2018-11-29,Mostly True,Roman Prezioso,Democrat,Education;State Budget;State government spending ,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-03_at_10.42.43_AM.png
2018-11-25,Mostly False,Jean Evans,Republican,Campaign Finance;Privacy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-12-06_at_9.06.28_AM.png
2018-12-03,Mostly True,Amy Klobuchar,Democrat,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/amy_klobuchar.jpg
2018-12-04,False,Donald Trump,Republican,Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-10-01,Half True,Caleb Rowden,Republican,Economy;Technology,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/caleb_rowden.jpg
2018-11-29,Mostly False, PuppetStringNews.com,None,Fake news;Homeland Security;Immigration;Public Health,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/politifact-mugs-mug-independentgroup__________________3.jpg
2018-11-23,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-28,Mostly True,Terry McAuliffe,Democrat,Job Accomplishments;Jobs,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/mcauliffe1.JPG
2018-12-02,Mostly False, North Carolina Republican Party,Republican,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/mug-rnc___.jpg
2018-12-03,Full Flop, Wisconsin Republican Legislative leaders,Republican,Elections;States,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/GOP_elephant_1.jpg
2018-12-02,False,Alexandria Ocasio-Cortez,Democrat,Federal Budget;Health Care;Medicare;Military,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-07-05_at_4.16.09_PM.png
2018-11-29,False, Bloggers,None,Fake news;History,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-29,Mostly True,Gavin Newsom,Democrat,Economy;Immigration;Public Safety,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/0506-gavin-newsome-p_1.jpg
2018-10-14,Mostly True,Joe Manchin,Democrat,Technology;Trade,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Manchin.jpg
2018-11-19,Mostly False,Lori Lightfoot,None,Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/lori-lightfoot.jpg
2018-11-25,False, PuppetStringNews.com,None,Fake news;Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/politifact-mugs-mug-independentgroup__________________3.jpg
2018-11-07,Half True,Dale Kooyenga,Republican,Health Care;Medicaid;Medicare;Public Health,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Dale_Kooyenga_PFACT.jpg
2018-11-16,False,Nancy  Pelosi,Democrat,Legal Issues,https://s3.amazonaws.com/static.politifact.com/mugs/mug-nancypelosi.jpg
2018-10-31,Mostly False,David McKinley,Republican,Economy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/McKinley_mug.jpg
2018-11-26,Pants on Fire, Bloggers,None,Fake news;Immigration,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-25,False,Donald Trump,Republican,Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-11-27,Mostly True,Sarah  Huckabee Sanders,Republican,Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-08-15_at_10.26.40_AM.png
2018-11-19,False,Alexandria Ocasio-Cortez,Democrat,Campaign Finance,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-07-05_at_4.16.09_PM.png
2018-11-25,False,Danielle Pletka,None,Climate Change;Environment,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-07-10_at_5.08.32_PM.png
2018-11-18,Mostly True,Gordon Hintz,Democrat,Elections;State Finances;State government spending ;Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Gordon_Hintz_Pfact_mug.jpg
2018-11-15,Mostly False,Steve Daines,Republican,Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-11-27_at_12.04.29_PM.png
2018-11-16,Half True, Clean Virginia,Organization,Energy;Regulation,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/CleanVA.jpg
2018-11-21,Half True,Donald Trump,Republican,Energy;Foreign Policy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-11-17,Half True, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-19,Mostly False,Susana  Mendoza ,Democrat,Criminal Justice;Death Penalty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/susana-mendoza.jpg
2018-10-29,Mostly False, Viral image,None,Fake news,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Success-Kid.jpg
2018-09-14,Mostly False,Tammy Baldwin,Democrat,Drugs;Health Care;Marijuana,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/PFACT_Tammy_Baldwin.jpg
2018-11-16,Mostly False,Tom Cotton,Republican,Corrections and Updates;Crime;Criminal Justice;Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Tom_Cotton_mug.jpg
2018-11-11,Mostly False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-08,Mostly True,Gwen Moore,Democrat,Health Care;Medicaid;Medicare;Public Health,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/FACT_Gwen_Moore__OFFICIAL_MUG.jpg
2018-11-13,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-09,True,Jason Smith,Republican,Economy;Jobs;Small Business,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Jason_Smith_mug.jpg
2018-11-14,Half True,Paul Vallas,None,City Government,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/paul-vallas.jpg
2018-11-12,Mostly True,Kirsten Gillibrand,Democrat,Congress;Women,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Gilly.jpg
2018-11-15,Mostly False,Bernie Sanders,Independent,Economy;Income;Jobs;Medicaid,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Bernie_Sanders.jpg
2018-11-15,Pants on Fire,Lou Dobbs,None,Elections;Immigration,https://s3.amazonaws.com/static.politifact.com/mugs/Dobbs.jpg
2018-11-14,Pants on Fire,Donald Trump,Republican,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-11-01,Half True,Ron Johnson,Republican,Homeland Security;Immigration;Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Ron_Johnson_Pfact_mug_1.jpg
2018-11-09,Pants on Fire, Viral image,None,Fake news,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Success-Kid.jpg
2018-09-29,True, West Virginia Republican Party,Republican,Economy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/WVGOP_logo.jpg
2018-10-24,True,Richard Ojeda,Democrat,Drugs;Health Care;Military,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-11-15_at_1.30.03_PM.png
2018-09-29,Mostly False,Donald Trump,Republican,Immigration;Polls and Public Opinion,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-10-06,True,Patrick Morrisey,Republican,Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/morrisey_photo.jpg
2018-11-12,Half True,Eric Swalwell,Democrat,Immigration;Military,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-11-14_at_8.17.29_PM.png
2018-11-12,False,Andrea Mitchell,None,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/0523_wharton_630x420.jpg
2018-11-07,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-12,False,Donald Trump Jr.,Republican,Elections;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Trump_Jr.jpg
2018-11-09,Pants on Fire,Ken Blackwell,Republican,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/blackwell.jpg
2018-11-05,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-07,Mostly False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-31,Mostly False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-02,False,Rob Wittman,Republican,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/WITTMAN.jpg
2018-11-08,Mostly True,Marco Rubio,Republican,Elections;Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Marco_Rubio.jpg
2018-11-07,False, Bloggers,None,Elections;Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-10,False,Donald Trump,Republican,Environment;Federal Budget;Fires;State government spending ,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-09-14,Mostly False,Tammy Baldwin,Democrat,Drugs;Health Care;Marijuana;Veterans,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/PFACT_Tammy_Baldwin.jpg
2018-10-10,Half True,Phil Scott,Republican,Drugs;Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/phil-scott--2.jpg
2018-11-07,False,Donald Trump,Republican,History,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-11-05,Pants on Fire,  Infowars,Republican,Fake news,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Infowars.jpg
2018-10-31,False, Viral image,None,Fake news;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Success-Kid.jpg
2018-11-06,Half True, Bloggers,None,Immigration,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-07,Mostly True,Scott Galloway,Democrat,Criminal Justice;Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Steve_Galloway_mug_twitter.png
2018-11-07,Half True,Donald Trump,Republican,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-02-17,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-05,True, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-06,Mostly True, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-06,Pants on Fire, Bloggers,None,Elections;Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-02,False, Bloggers,None,Fake news;Immigration,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-06,False, Bloggers,None,Elections,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-06,Pants on Fire, Bloggers,None,Elections,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-05,Pants on Fire, Bloggers,None,Elections,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-02,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-03,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-05,Full Flop,Sean Hannity,None,Corrections and Updates;Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Hannity.jpg
2018-11-03,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-03,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-30,Mostly False,Ron DeSantis,Republican,Criminal Justice,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/desantiscropped.jpg
2018-10-22,Mostly False,Mike Bost,Republican,Crime;Criminal Justice;Job Accomplishments,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Bost_for_thumbnail.png
2018-11-02,Pants on Fire, Bloggers,None,Corrections and Updates;Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-25,Mostly False,Claire McCaskill,Democrat,Health Care,https://s3.amazonaws.com/static.politifact.com/mugs/McCaskill_.jpg
2018-10-25,Half True,Josh Hawley,Republican,Economy;Guns;Jobs,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Josh_Hawley.png
2018-10-02,Half True,Claire McCaskill,Democrat,Voting Record,https://s3.amazonaws.com/static.politifact.com/mugs/McCaskill_.jpg
2018-11-03,Mostly True, West Virginia Republican Party,Republican,Candidate Biography,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/WVGOP_logo.jpg
2018-10-13,False,Patrick Morrisey,Republican,Energy;Environment,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/morrisey_photo.jpg
2018-10-11,False,"Students, Parents and Teachers supporting Marshall Tuck",Organization,Education;Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/tuck_group_new_1.jpg
2018-11-02,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-26,Half True, House Majority PAC,Democrat,Children;Health Care;Medicaid,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Housemajoritypac.jpg
2018-10-30,Mostly False,Mike Braun,Republican,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-05-04_at_10.14.27_AM.png
2018-10-30,Mostly False, Democratic Congressional Campaign Committee,Democrat,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/politifact-mugs-mugs_mug-dnc_.jpg
2018-10-11,False,"Students, Parents and Teachers supporting Marshall Tuck",Organization,Education;Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/tuck_group_new_1.jpg
2018-10-26,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-11,False,Tony Thurmond,Democrat,Education;Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/tony_thurmond_mug_1.jpg
2018-11-01,Pants on Fire, worldnewsdailyreport.com,None,Fake news,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/politifact-mugs-mug-independentgroup__________________3.jpg
2018-11-02,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-01,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-09-11,Mostly False, Senate Leadership Fund,Republican,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/SLF.PNG
2018-11-03,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-22,Mostly False,Mark Harris,Republican,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/MarkHarrisMUG.JPG
2018-10-29,Mostly True, Environmental Defense Fund Action,None,Campaign Finance;Climate Change,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/EDF.PNG
2018-10-04,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-29,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-11-01,False,Tony Evers,Democrat,Families;Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Tony_Evers__PFACT.jpg
2018-10-30,True,Nathan McMurray,Democrat,Federal Budget;Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Nathan-McMurray.jpg
2018-10-29,Mostly False, Priorities USA Action,Democrat,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/priorities.jpg
2018-09-14,True, West Virginia Republican Party,Republican,Economy;Housing,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/WVGOP_logo.jpg
2018-10-26,False,Donald Trump,Republican,Health Care;Medicare,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-09-26,Mostly True,Tammy Baldwin,Democrat,Health Care;Veterans,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/PFACT_Tammy_Baldwin.jpg
2018-06-14,Full Flop,Jeff Tarte,Republican,Transportation,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Tarte_headshot.jpg
2018-09-25,Mostly False,Tony Evers,Democrat,Education;State Budget;State government spending ,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Tony_Evers__PFACT.jpg
2018-10-12,False, Bloggers,None,Corrections and Updates;Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-30,Pants on Fire, National Republican Congressional Committee,Republican,Social Security,https://s3.amazonaws.com/static.politifact.com/mugs/Logo_NRC_Elephant.jpg
2018-09-17,Mostly False,Gil Cisneros,Democrat,Ethics;Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/New_Cisneros_mug.jpg
2018-10-30,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-28,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-23,Mostly True,Scott Walker,Republican,Education;Immigration;Jobs;Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Scott_Walker_1_1.jpg
2018-10-21,Pants on Fire,Dave Brat,Republican,Campaign Finance,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/BRAT.JPG
2018-10-10,Half True,Dan McCready,Democrat,Medicare;Social Security,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-10-22_at_9.26.35_AM.png
2018-10-31,Pants on Fire,Donald Trump,Republican,Corrections and Updates;Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-10-25,Mostly False,Ken Paxton,Republican,Crime,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/REPKenPaxtonmugsq.jpg
2018-10-26,False,Donald Trump,Republican,Elections;Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-10-21,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-09-29,True,Donald Trump,Republican,Diversity;Economy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-10-28,Mostly True,Heidi Heitkamp,Democrat,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/heitkamp.jpg
2018-10-03,True,Joe Manchin,Democrat,Drugs;Public Health,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Manchin.jpg
2018-09-19,Mostly True,Kendra Fershee,Democrat,Poverty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-11-01_at_10.40.21_AM.png
2018-10-18,Mostly False,Josh Hawley,Republican,Guns,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Josh_Hawley.png
2018-09-26,Pants on Fire,Duncan Hunter,Republican,Campaign Finance,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Duncan_D._Hunter_official_photo_portrait_111th_Congress_1.jpg
2018-10-25,Mostly False,Claire McCaskill,Democrat,Debates,https://s3.amazonaws.com/static.politifact.com/mugs/McCaskill_.jpg
2018-10-26,False,Kevin Cramer,Republican,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2018-05-10_at_10.14.57_AM.png
2018-10-27,Mostly False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-22,False,Sean Casten,Democrat,Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/sean-casten_1.jpg
2018-10-10,False,Donald Trump,Republican,Crime;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-10-02,Half True,Michael Schirling,Republican,Diversity,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/schirling_crop.jpg
2018-10-18,False,Karin Housley,Republican,Negative Campaigning,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/KarinHousley.jpg
2018-10-10,False,Mark Harris,Republican,Impeachment,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/MarkHarrisMUG.JPG
2018-10-10,True,Jon Tester,Democrat,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Tester_mug.jpg
2018-10-18,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-09-25,Half True,Tony Evers,Democrat,Children;Education,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Tony_Evers__PFACT.jpg
2018-10-29,Pants on Fire, Facebook posts,None,Fake news,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Facebook_icon_1.jpg
2018-10-24,False,Donald Trump,Republican,Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-10-26,Mostly False,Linda Coleman,Democrat,Health Care;Medicare,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/coleman_copy.jpg
2018-10-18,False, National Republican Congressional Committee,Republican,Campaign Finance,https://s3.amazonaws.com/static.politifact.com/mugs/Logo_NRC_Elephant.jpg
2018-10-24,Mostly False,Martha McSally,Republican,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/U.S._Rep._Martha_McSally.jpg
2018-10-25,False,John Culberson,Republican,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Culberson-mug.jpg
2018-10-24,Half True,Ricardo Lara,Democrat,Health Care;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/lara_mug_3.jpg
2018-10-10,False,Christine Hallquist,Democrat,Corrections and Updates;Education,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/christine80.jpg
2018-07-10,False, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-20,Half True,Troy Balderson,Republican,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Balderson.jpg
2018-10-25,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-27,False,Donald Trump,Republican,History,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_TRUMP_CAMPAIGN_5.jpg
2018-10-24,Mostly False, FreedomWorks,Organization,Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/politifact-mugs-mug-independentgroup__________________3.jpg
2018-10-24,Mostly True,Ron DeSantis,Republican,Education,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/desantiscropped.jpg
2018-10-10,Mostly False,Phil Scott,Republican,Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/phil-scott--2.jpg
2018-10-26,False, Congressional Leadership Fund,Republican,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/CLF.jpg
2018-10-17,False,Erik Paulsen,Republican,Negative Campaigning,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/AP_18256033148388.jpg
2018-10-20,Mostly False,Mike DeWine,Republican,Jobs;State Budget;Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/politifact-mike-dewine-mug.JPG
2018-10-25,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2018-10-23,Mostly True,Linda Coleman,Democrat,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/coleman_copy.jpg
2018-10-13,False, Occupy Democrats,Organization,Fake news,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Occupy_Democrats_official.jpg
2018-09-20,False,E. Gordon Gee,None,Congress;Polls and Public Opinion,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/politifact-e-gordon-gee.JPG
2018-05-23,Pants on Fire, Bloggers,None,Fake news,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
