Date,Label,Speaker,Political Party,Subject,Photo
2014-07-23,Half True,Rick Perry,Republican,Corrections and Updates;Crime;Criminal Justice;Foreign Policy;Homeland Security;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Rick_Perry_1.jpg
2014-07-26,Mostly False,Ed MacDougall,Republican,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/McD.jpg
2014-07-29,True,Nancy  Pelosi,Democrat,Congress;Legal Issues,https://s3.amazonaws.com/static.politifact.com/mugs/mug-nancypelosi.jpg
2014-07-28,Mostly False,Cory Gardner,Republican,Climate Change;Energy;Environment;Government regulation,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Cory_Gardner_mug.jpg
2014-07-23,Mostly False,Lawrence O'Donnell,None,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/lawrence_6-15.jpg
2014-06-28,Pants on Fire,David Alameel,Democrat,Candidate Biography;History;Military;Public Service,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/alameel022114pft.jpg
2014-07-27,False,Scott Walker,Republican,Government Efficiency;Jobs;State Budget,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Scott_Walker_1_1.jpg
2014-07-25,Mostly False, Concerned Veterans for America,Organization,Congress;Veterans,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/CCA.jpg
2014-07-25,Mostly True, Concerned Veterans for America,Organization,Congress;Veterans,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/CCA.jpg
2014-07-29,Mostly True,Charlie Crist,Democrat,Jobs;Women,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/crist.JPG
2014-07-23,Pants on Fire,Peter Lavelle,Journalist,Pundits,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/lavelle.jpg
2014-07-18,Pants on Fire,Bryan Fischer,None,Gays and Lesbians;Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/bryan-fischer-vvsummit2009.jpg
2014-07-25,False,Paul Ryan,Republican,Children;Education;Federal Budget;Jobs;Poverty;Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/AP_WX201_HOUSE_2016_PRIMARI.jpg
2014-07-27,Mostly True, Facebook posts,None,County Government;Poverty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Facebook_icon_1.jpg
2014-07-22,Pants on Fire,Greg Abbott,Republican,Crime;Criminal Justice;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/abbottmugnew16pft.jpg
2014-07-25,Mostly False,Tom Cotton,Republican,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Tom_Cotton_mug.jpg
2014-07-23,Half True,Joe Biden,Democrat,Education,https://s3.amazonaws.com/static.politifact.com/mugs/mug-joebiden.jpg
2014-07-22,Mostly True,Rush Limbaugh,None,Climate Change;Environment;Polls and Public Opinion,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/rush_limbaugh6.jpg
2014-07-23,Half True,Marco Rubio,Republican,Children;Education;Gays and Lesbians;Marriage,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Marco_Rubio.jpg
2014-07-14,Mostly False,Chris Moews,Democrat,Labor;Public Safety,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Moews.jpg
2014-07-17,False,Nathan Deal,Republican,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NathanDeal.jpg
2014-07-23,Mostly True,Jeb Bush,Republican,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Jeb_Bush.jpg
2014-07-25,False,Rob  Astorino,Republican,Economy;Jobs;States,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Astorino_mug.jpg
2014-07-18,Half True,Jamie Weinstein,None,Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Picture-43-e1316726491557.png
2014-07-22,Mostly True,Scott Walker,Republican,Labor;Workers,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Scott_Walker_1_1.jpg
2014-07-21,Half True, Brookhaven,None,Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Brookhavenlogo.jpg
